"STATISTIC","Statistic","TLIST(Q1)","Quarter","C01855V02284","Port","C01713V02044","Region of Trade","UNIT","VALUE"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","84"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","231"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","23"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","9"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","5"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6700"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4113"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","2056"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","201"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","92"
"TBQ05C01","Goods Handled","20191","2019Q1","IEDUB","Dublin","5","Coastal trade","000 Tonnes","237"
"TBQ05C01","Goods Handled","20191","2019Q1","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2585"
"TBQ05C01","Goods Handled","20191","2019Q1","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","303"
"TBQ05C01","Goods Handled","20191","2019Q1","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","1087"
"TBQ05C01","Goods Handled","20191","2019Q1","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","204"
"TBQ05C01","Goods Handled","20191","2019Q1","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","931"
"TBQ05C01","Goods Handled","20191","2019Q1","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","61"
"TBQ05C01","Goods Handled","20191","2019Q1","IEORK","Cork","-","All regions of trade","000 Tonnes","2285"
"TBQ05C01","Goods Handled","20191","2019Q1","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","356"
"TBQ05C01","Goods Handled","20191","2019Q1","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","745"
"TBQ05C01","Goods Handled","20191","2019Q1","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","259"
"TBQ05C01","Goods Handled","20191","2019Q1","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","738"
"TBQ05C01","Goods Handled","20191","2019Q1","IEORK","Cork","5","Coastal trade","000 Tonnes","187"
"TBQ05C01","Goods Handled","20191","2019Q1","IEROS","Rosslare","-","All regions of trade","000 Tonnes","503"
"TBQ05C01","Goods Handled","20191","2019Q1","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","415"
"TBQ05C01","Goods Handled","20191","2019Q1","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","88"
"TBQ05C01","Goods Handled","20191","2019Q1","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20191","2019Q1","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20191","2019Q1","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20191","2019Q1","IEWAT","Waterford","-","All regions of trade","000 Tonnes","505"
"TBQ05C01","Goods Handled","20191","2019Q1","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","27"
"TBQ05C01","Goods Handled","20191","2019Q1","IEWAT","Waterford","2","Foreign trade: Other EU","000 Tonnes","340"
"TBQ05C01","Goods Handled","20191","2019Q1","IEWAT","Waterford","3","Foreign trade: Non-EU","000 Tonnes","95"
"TBQ05C01","Goods Handled","20191","2019Q1","IEWAT","Waterford","4","Foreign trade: Other ports","000 Tonnes","41"
"TBQ05C01","Goods Handled","20191","2019Q1","IEWAT","Waterford","5","Coastal trade","000 Tonnes","3"
"TBQ05C01","Goods Handled","20192","2019Q2","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","12340"
"TBQ05C01","Goods Handled","20192","2019Q2","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4970"
"TBQ05C01","Goods Handled","20192","2019Q2","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","4897"
"TBQ05C01","Goods Handled","20192","2019Q2","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","417"
"TBQ05C01","Goods Handled","20192","2019Q2","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","1624"
"TBQ05C01","Goods Handled","20192","2019Q2","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","432"
"TBQ05C01","Goods Handled","20192","2019Q2","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","170"
"TBQ05C01","Goods Handled","20192","2019Q2","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes",""
"TBQ05C01","Goods Handled","20192","2019Q2","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes","67"
"TBQ05C01","Goods Handled","20192","2019Q2","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20192","2019Q2","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","103"
"TBQ05C01","Goods Handled","20192","2019Q2","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20192","2019Q2","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","366"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","81"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","248"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","32"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","2"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","3"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6632"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","3959"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","2307"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","112"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","46"
"TBQ05C01","Goods Handled","20192","2019Q2","IEDUB","Dublin","5","Coastal trade","000 Tonnes","208"
"TBQ05C01","Goods Handled","20192","2019Q2","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2364"
"TBQ05C01","Goods Handled","20192","2019Q2","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","310"
"TBQ05C01","Goods Handled","20192","2019Q2","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","1152"
"TBQ05C01","Goods Handled","20192","2019Q2","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","106"
"TBQ05C01","Goods Handled","20192","2019Q2","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","714"
"TBQ05C01","Goods Handled","20192","2019Q2","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","81"
"TBQ05C01","Goods Handled","20192","2019Q2","IEORK","Cork","-","All regions of trade","000 Tonnes","1776"
"TBQ05C01","Goods Handled","20192","2019Q2","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","164"
"TBQ05C01","Goods Handled","20192","2019Q2","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","689"
"TBQ05C01","Goods Handled","20192","2019Q2","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","72"
"TBQ05C01","Goods Handled","20192","2019Q2","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","715"
"TBQ05C01","Goods Handled","20192","2019Q2","IEORK","Cork","5","Coastal trade","000 Tonnes","136"
"TBQ05C01","Goods Handled","20192","2019Q2","IEROS","Rosslare","-","All regions of trade","000 Tonnes","533"
"TBQ05C01","Goods Handled","20192","2019Q2","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","441"
"TBQ05C01","Goods Handled","20192","2019Q2","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","92"
"TBQ05C01","Goods Handled","20192","2019Q2","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20192","2019Q2","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20192","2019Q2","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20192","2019Q2","IEWAT","Waterford","-","All regions of trade","000 Tonnes","500"
"TBQ05C01","Goods Handled","20192","2019Q2","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","15"
"TBQ05C01","Goods Handled","20192","2019Q2","IEWAT","Waterford","2","Foreign trade: Other EU","000 Tonnes","342"
"TBQ05C01","Goods Handled","20192","2019Q2","IEWAT","Waterford","3","Foreign trade: Non-EU","000 Tonnes","94"
"TBQ05C01","Goods Handled","20192","2019Q2","IEWAT","Waterford","4","Foreign trade: Other ports","000 Tonnes","44"
"TBQ05C01","Goods Handled","20192","2019Q2","IEWAT","Waterford","5","Coastal trade","000 Tonnes","5"
"TBQ05C01","Goods Handled","20193","2019Q3","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","12408"
"TBQ05C01","Goods Handled","20193","2019Q3","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","5489"
"TBQ05C01","Goods Handled","20193","2019Q3","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","4154"
"TBQ05C01","Goods Handled","20193","2019Q3","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","175"
"TBQ05C01","Goods Handled","20193","2019Q3","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","2090"
"TBQ05C01","Goods Handled","20193","2019Q3","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","501"
"TBQ05C01","Goods Handled","20193","2019Q3","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","85"
"TBQ05C01","Goods Handled","20193","2019Q3","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes",""
"TBQ05C01","Goods Handled","20193","2019Q3","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20193","2019Q3","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20193","2019Q3","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","85"
"TBQ05C01","Goods Handled","20193","2019Q3","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20193","2019Q3","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","336"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","86"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","194"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","38"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","10"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","9"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6461"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4253"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","1947"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","42"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","81"
"TBQ05C01","Goods Handled","20193","2019Q3","IEDUB","Dublin","5","Coastal trade","000 Tonnes","138"
"TBQ05C01","Goods Handled","20193","2019Q3","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2348"
"TBQ05C01","Goods Handled","20193","2019Q3","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","314"
"TBQ05C01","Goods Handled","20193","2019Q3","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","992"
"TBQ05C01","Goods Handled","20193","2019Q3","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","67"
"TBQ05C01","Goods Handled","20193","2019Q3","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","871"
"TBQ05C01","Goods Handled","20193","2019Q3","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","105"
"TBQ05C01","Goods Handled","20193","2019Q3","IEORK","Cork","-","All regions of trade","000 Tonnes","2319"
"TBQ05C01","Goods Handled","20193","2019Q3","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","379"
"TBQ05C01","Goods Handled","20193","2019Q3","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","705"
"TBQ05C01","Goods Handled","20193","2019Q3","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","17"
"TBQ05C01","Goods Handled","20193","2019Q3","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","974"
"TBQ05C01","Goods Handled","20193","2019Q3","IEORK","Cork","5","Coastal trade","000 Tonnes","245"
"TBQ05C01","Goods Handled","20193","2019Q3","IEROS","Rosslare","-","All regions of trade","000 Tonnes","526"
"TBQ05C01","Goods Handled","20193","2019Q3","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","443"
"TBQ05C01","Goods Handled","20193","2019Q3","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","83"
"TBQ05C01","Goods Handled","20193","2019Q3","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20193","2019Q3","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20193","2019Q3","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20193","2019Q3","IEWAT","Waterford","-","All regions of trade","000 Tonnes","333"
"TBQ05C01","Goods Handled","20193","2019Q3","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","15"
"TBQ05C01","Goods Handled","20193","2019Q3","IEWAT","Waterford","2","Foreign trade: Other EU","000 Tonnes","233"
"TBQ05C01","Goods Handled","20193","2019Q3","IEWAT","Waterford","3","Foreign trade: Non-EU","000 Tonnes","11"
"TBQ05C01","Goods Handled","20193","2019Q3","IEWAT","Waterford","4","Foreign trade: Other ports","000 Tonnes","69"
"TBQ05C01","Goods Handled","20193","2019Q3","IEWAT","Waterford","5","Coastal trade","000 Tonnes","4"
"TBQ05C01","Goods Handled","20194","2019Q4","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","12804"
"TBQ05C01","Goods Handled","20194","2019Q4","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","5232"
"TBQ05C01","Goods Handled","20194","2019Q4","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","4771"
"TBQ05C01","Goods Handled","20194","2019Q4","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","558"
"TBQ05C01","Goods Handled","20194","2019Q4","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","1709"
"TBQ05C01","Goods Handled","20194","2019Q4","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","534"
"TBQ05C01","Goods Handled","20194","2019Q4","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","155"
"TBQ05C01","Goods Handled","20194","2019Q4","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes",""
"TBQ05C01","Goods Handled","20194","2019Q4","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes","70"
"TBQ05C01","Goods Handled","20194","2019Q4","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes","41"
"TBQ05C01","Goods Handled","20194","2019Q4","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","43"
"TBQ05C01","Goods Handled","20194","2019Q4","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20194","2019Q4","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","476"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","124"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","294"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","45"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","10"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","3"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6542"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4130"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","1961"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","163"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","115"
"TBQ05C01","Goods Handled","20194","2019Q4","IEDUB","Dublin","5","Coastal trade","000 Tonnes","173"
"TBQ05C01","Goods Handled","20194","2019Q4","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2325"
"TBQ05C01","Goods Handled","20194","2019Q4","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","279"
"TBQ05C01","Goods Handled","20194","2019Q4","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","1077"
"TBQ05C01","Goods Handled","20194","2019Q4","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","161"
"TBQ05C01","Goods Handled","20194","2019Q4","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","707"
"TBQ05C01","Goods Handled","20194","2019Q4","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","102"
"TBQ05C01","Goods Handled","20194","2019Q4","IEORK","Cork","-","All regions of trade","000 Tonnes","2318"
"TBQ05C01","Goods Handled","20194","2019Q4","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","273"
"TBQ05C01","Goods Handled","20194","2019Q4","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","944"
"TBQ05C01","Goods Handled","20194","2019Q4","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","118"
"TBQ05C01","Goods Handled","20194","2019Q4","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","726"
"TBQ05C01","Goods Handled","20194","2019Q4","IEORK","Cork","5","Coastal trade","000 Tonnes","257"
"TBQ05C01","Goods Handled","20194","2019Q4","IEROS","Rosslare","-","All regions of trade","000 Tonnes","479"
"TBQ05C01","Goods Handled","20194","2019Q4","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","399"
"TBQ05C01","Goods Handled","20194","2019Q4","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","80"
"TBQ05C01","Goods Handled","20194","2019Q4","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20194","2019Q4","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20194","2019Q4","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20194","2019Q4","IEWAT","Waterford","-","All regions of trade","000 Tonnes","509"
"TBQ05C01","Goods Handled","20194","2019Q4","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","27"
"TBQ05C01","Goods Handled","20194","2019Q4","IEWAT","Waterford","2","Foreign trade: Other EU","000 Tonnes","345"
"TBQ05C01","Goods Handled","20194","2019Q4","IEWAT","Waterford","3","Foreign trade: Non-EU","000 Tonnes","29"
"TBQ05C01","Goods Handled","20194","2019Q4","IEWAT","Waterford","4","Foreign trade: Other ports","000 Tonnes","107"
"TBQ05C01","Goods Handled","20194","2019Q4","IEWAT","Waterford","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20201","2020Q1","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","12540"
"TBQ05C01","Goods Handled","20201","2020Q1","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4947"
"TBQ05C01","Goods Handled","20201","2020Q1","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","4342"
"TBQ05C01","Goods Handled","20201","2020Q1","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","437"
"TBQ05C01","Goods Handled","20201","2020Q1","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","2240"
"TBQ05C01","Goods Handled","20201","2020Q1","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","573"
"TBQ05C01","Goods Handled","20201","2020Q1","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","368"
"TBQ05C01","Goods Handled","20201","2020Q1","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","30"
"TBQ05C01","Goods Handled","20201","2020Q1","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes","184"
"TBQ05C01","Goods Handled","20201","2020Q1","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20201","2020Q1","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","154"
"TBQ05C01","Goods Handled","20201","2020Q1","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20201","2020Q1","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","336"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","90"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","198"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","21"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","25"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","2"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6397"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","3968"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","2056"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","122"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","54"
"TBQ05C01","Goods Handled","20201","2020Q1","IEDUB","Dublin","5","Coastal trade","000 Tonnes","197"
"TBQ05C01","Goods Handled","20201","2020Q1","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2335"
"TBQ05C01","Goods Handled","20201","2020Q1","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","261"
"TBQ05C01","Goods Handled","20201","2020Q1","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","793"
"TBQ05C01","Goods Handled","20201","2020Q1","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","100"
"TBQ05C01","Goods Handled","20201","2020Q1","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","1078"
"TBQ05C01","Goods Handled","20201","2020Q1","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","103"
"TBQ05C01","Goods Handled","20201","2020Q1","IEORK","Cork","-","All regions of trade","000 Tonnes","2187"
"TBQ05C01","Goods Handled","20201","2020Q1","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","210"
"TBQ05C01","Goods Handled","20201","2020Q1","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","678"
"TBQ05C01","Goods Handled","20201","2020Q1","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","131"
"TBQ05C01","Goods Handled","20201","2020Q1","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","897"
"TBQ05C01","Goods Handled","20201","2020Q1","IEORK","Cork","5","Coastal trade","000 Tonnes","271"
"TBQ05C01","Goods Handled","20201","2020Q1","IEROS","Rosslare","-","All regions of trade","000 Tonnes","461"
"TBQ05C01","Goods Handled","20201","2020Q1","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","361"
"TBQ05C01","Goods Handled","20201","2020Q1","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","100"
"TBQ05C01","Goods Handled","20201","2020Q1","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20201","2020Q1","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20201","2020Q1","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20201","2020Q1","IEWAT","Waterford","-","All regions of trade","000 Tonnes","457"
"TBQ05C01","Goods Handled","20201","2020Q1","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","27"
